ID,Date Category,Sk_Age,Site,Region,bone_d13C,bone_d15N,dentine_d13C,dentine_d15N,enamel_d13C,D13C_dent-bone,D15N_dent-bone,D13C_tooth_enamel_dent,E13Cenamel-dentinecoll,E13Cdent-bone,,
KCC98_46,F/G,F5/6,Ketton Quarry,Central,-19.73,8.93,-19.39,11.04,-13.25,0.35,2.12,6.14,6.26,0.352285452,,
KCC98_51,F/G,M5,Ketton Quarry,Central,-19.68,9.30,-20.02,10.77,-15.70,-0.34,1.47,4.33,4.42,-0.351245732,,
KCC98_53,F/G,F5,Ketton Quarry,Central,-19.78,9.32,-19.58,9.79,-13.33,0.20,0.47,6.25,6.38,0.199955044,,
KCC98_59,F/G,F4/5,Ketton Quarry,Central,-19.61,9.90,-19.81,10.51,-13.87,-0.20,0.61,5.93,6.05,-0.205699683,,
KCC98_61,F/G,U3,Ketton Quarry,Central,-20.08,8.91,-19.68,9.15,-12.55,0.40,0.24,7.13,7.27,0.409556964,,
KGH_8,C/D,F5,"King's Garden Hostel, Cambridge",Cambridge and South Cambs,-20.46,10.34,-20.04,10.90,-15.58,0.42,0.57,4.46,4.55,0.433198156,,
KGH_12,C/D,F4,"King's Garden Hostel, Cambridge",Cambridge and South Cambs,-20.50,9.80,-20.20,11.06,-15.27,0.30,1.26,4.93,5.03,0.304236856,,
KGH_28,C/D,M5/6,"King's Garden Hostel, Cambridge",Cambridge and South Cambs,-20.69,11.14,-20.14,10.45,-14.75,0.55,-0.69,5.38,5.49,0.566045571,,
KGH_56,C/D,M4/5,"King's Garden Hostel, Cambridge",Cambridge and South Cambs,-20.42,10.90,-19.97,11.00,-14.30,0.44,0.10,5.67,5.79,0.450871663,,
KGH_69,C/D,M4/5,"King's Garden Hostel, Cambridge",Cambridge and South Cambs,-20.19,10.68,-20.11,10.40,-14.72,0.08,-0.28,5.39,5.50,0.077906155,,
KGH_72,C/D,F5,"King's Garden Hostel, Cambridge",Cambridge and South Cambs,-20.55,10.11,-20.29,10.06,-14.63,0.26,-0.05,5.66,5.78,0.262050851,,
KGH_75,C/D,M5/6,"King's Garden Hostel, Cambridge",Cambridge and South Cambs,-20.13,10.90,-20.17,10.49,-14.78,-0.04,-0.41,5.40,5.51,-0.039801347,,
KGH_78,C/D,F5/6,"King's Garden Hostel, Cambridge",Cambridge and South Cambs,-20.35,10.93,-20.24,11.73,-14.30,0.11,0.80,5.94,6.06,0.111944704,,
KGH_83,C/D,M4/5,"King's Garden Hostel, Cambridge",Cambridge and South Cambs,-20.38,10.21,-20.56,9.13,-13.97,-0.18,-1.08,6.59,6.73,-0.183064804,,
KGH_116,C/D,F5,"King's Garden Hostel, Cambridge",Cambridge and South Cambs,-20.58,10.23,-20.19,12.24,-13.83,0.39,2.01,6.36,6.49,0.395132351,,
KGH_122,C/D,M5,"King's Garden Hostel, Cambridge",Cambridge and South Cambs,-20.08,10.91,-19.73,11.20,-13.37,0.36,0.29,6.36,6.48,0.362956157,,
LLR17_63_012,D,M5,"Lower Luton Rd, Harpenden",Upper Thames and Chilterns,-19.88,9.75,-19.92,9.51,-13.48,-0.04,-0.23,6.44,6.57,-0.039450844,,
NEWN_146_143,D,F5,"Newnham College, Cambridge",Cambridge and South Cambs,-19.50,9.47,-19.58,10.22,-13.77,-0.08,0.75,5.82,5.93,-0.085330614,,
WF2015_10,C,M4,"Whitehall Farm, Nether Heyford",Central,-20.26,9.87,-20.10,9.45,,0.17,-0.43,,,0.170113796,,
WF2016_12,C,M4,"Whitehall Farm, Nether Heyford",Central,-20.33,9.67,-20.07,10.12,,0.25,0.45,,,0.258248909,,
NHYD02_13,C,M4,"Whitehall Farm, Nether Heyford",Central,-20.13,9.85,-20.22,10.30,,-0.09,0.45,,,-0.088107136,,
NHYD02_14,B,F4,"Whitehall Farm, Nether Heyford",Central,-20.12,9.79,-20.46,10.88,,-0.34,1.09,,,-0.350382563,,
NHYD02_15,B,F5,"Whitehall Farm, Nether Heyford",Central,-20.21,9.89,-18.82,10.87,,1.38,0.98,,,1.411520237,,
SBR16_1,D-F,M5,Southam,Central,-20.41,9.20,-20.12,9.78,-13.23,0.28,0.58,6.89,7.03,0.290257192,,
